Time,LogSeconds,LogMilliseconds,DelayLevelInPercentage,ECU_ON_Injector_Microseconds,ComputedDelayToAddInMicroseconds,DelayAddedInMicroseconds,OnInjectorMicroseconds,OffInjectorMicroseconds,WarningCount,RPMs,NewInjectorDutyCycle (%),EcuInjectorDutyCycle (%)
15:10:43,5,339,5,9700,400,500,10200,60200,0,1756,14.48863636,13.77840909
15:10:43,5,405,5,9700,400,500,10200,56200,0,1716,15.36144578,14.60843373
15:10:43,5,470,5,9700,400,500,10200,56300,0,1820,15.33834586,14.58646617
15:10:43,5,535,5,9600,400,500,10100,54700,0,1818,15.58641975,14.81481481
15:10:43,5,598,5,9600,400,500,10100,54100,0,1866,15.73208723,14.95327103
15:10:43,5,662,5,9600,400,500,10100,54000,0,1883,15.75663027,14.97659906
15:10:43,5,725,5,9500,400,500,10000,54500,0,1886,15.50387597,14.72868217
15:10:43,5,790,5,9500,400,500,10000,55200,0,1875,15.33742331,14.57055215
15:10:43,5,855,5,9500,400,500,10000,55600,0,1854,15.24390244,14.48170732
15:10:43,5,921,5,9500,400,500,10000,56200,0,1843,15.10574018,14.35045317
15:10:43,5,985,5,9500,400,500,10000,55500,0,1826,15.26717557,14.50381679
15:10:44,6,49,5,9400,400,500,9900,54500,0,1846,15.37267081,14.59627329
15:10:44,6,112,5,9400,400,500,9900,53800,0,1877,15.54160126,14.7566719
15:10:44,6,175,5,9400,400,500,9900,53400,0,1898,15.63981043,14.84992101
15:10:44,6,237,5,9200,400,500,9700,52900,0,1910,15.49520767,14.69648562
15:10:44,6,298,5,9200,400,500,9700,52500,0,1932,15.59485531,14.79099678
15:10:44,6,360,5,9300,400,500,9800,52800,0,1944,15.65495208,14.85623003
15:10:44,6,422,5,9300,400,500,9800,52900,0,1932,15.62998405,14.83253589
15:10:44,6,484,5,9200,400,500,9700,52500,0,1929,15.59485531,14.79099678
15:10:44,6,545,5,9200,400,500,9700,52400,0,1944,15.61996779,14.81481481
15:10:44,6,607,5,9200,400,500,9700,52400,0,1948,15.61996779,14.81481481
15:10:44,6,669,5,9200,400,500,9700,53000,0,1948,15.47049442,14.67304625
15:10:44,6,732,5,9100,400,500,9600,54100,0,1929,15.07064364,14.28571429
15:10:44,6,795,5,9100,400,500,9600,54300,0,1898,15.02347418,14.24100156
15:10:44,6,858,5,9100,400,500,9600,53400,0,1892,15.23809524,14.44444444
15:10:44,6,919,5,9100,400,500,9600,52600,0,1920,15.4340836,14.63022508
15:10:44,6,980,5,9000,400,500,9500,52100,0,1944,15.42207792,14.61038961
15:10:45,7,41,5,9000,400,500,9500,52100,0,1963,15.42207792,14.61038961
15:10:45,7,103,5,9000,400,500,9500,53100,0,1963,15.17571885,14.37699681
15:10:45,7,167,5,9000,400,500,9500,54900,0,1932,14.7515528,13.97515528
15:10:45,7,227,5,8900,400,500,9400,51900,0,1877,15.33442088,14.5187602
15:10:45,7,289,5,8900,400,500,9400,53100,0,1973,15.04,14.24
15:10:45,7,352,5,8900,400,500,9400,54100,0,1935,14.80314961,14.01574803
15:10:45,7,412,5,8800,400,500,9300,51000,0,1904,15.42288557,14.59369818
15:10:45,7,473,5,8800,400,500,9300,52600,0,2006,15.02423263,14.21647819
15:10:45,7,536,5,8800,400,500,9300,54300,0,1954,14.62264151,13.83647799
15:10:45,7,598,5,8800,400,500,9300,52900,0,1901,14.95176849,14.14790997
15:10:45,7,659,5,8700,400,500,9200,53200,0,1944,14.74358974,13.94230769
15:10:45,7,721,5,8700,400,500,9200,52800,0,1938,14.83870968,14.03225806
15:10:45,7,782,5,8700,400,500,9200,52500,0,1951,14.910859,14.10048622
15:10:45,7,842,5,8700,400,500,9200,52000,0,1960,15.03267974,14.21568627
15:10:45,7,903,5,8600,400,500,9100,52200,0,1976,14.84502447,14.02936378
15:10:45,7,964,5,8600,400,500,9100,52800,0,1973,14.70113086,13.89337641
15:10:46,8,25,5,8600,400,500,9100,52800,0,1954,14.70113086,13.89337641
15:10:46,8,86,5,8600,400,500,9100,52400,0,1954,14.79674797,13.98373984
15:10:46,8,147,5,8500,400,500,9000,52300,0,1967,14.68189233,13.86623165
15:10:46,8,207,5,8500,400,500,9000,51800,0,1973,14.80263158,13.98026316
15:10:46,8,267,5,8500,400,500,9000,51400,0,1990,14.90066225,14.07284768
15:10:46,8,326,5,8400,400,500,8900,51400,0,2003,14.75953566,13.93034826
15:10:46,8,387,5,8400,400,500,8900,52100,0,2006,14.59016393,13.7704918
15:10:46,8,448,5,8400,400,500,8900,52600,0,1983,14.47154472,13.65853659
15:10:46,8,509,5,8500,400,500,9000,52800,0,1967,14.5631068,13.75404531
15:10:46,8,570,5,8400,400,500,8900,52400,0,1957,14.5187602,13.70309951
15:10:46,8,634,5,8300,400,500,8800,52200,0,1973,14.42622951,13.60655738
15:10:46,8,690,5,8300,400,500,8800,52100,0,1983,14.4499179,13.62889984
15:10:46,8,751,5,8300,400,500,8800,52300,0,1986,14.40261866,13.58428805
